lcsc,Assembly Type,Assembly Type Batch,Assembly Process,Min Order Qty,Attrition Qty,Special Component Fee,Component Library Type,Describe
1002,smtWeld,smtWeld,SMT,20,6,0.0,base,
1015,smtWeld,smtWeld,SMT,20,10,0.0,base,
1017,smtWeld,smtWeld,SMT,20,10,0.0,base,-55℃~+125℃ 1 300mΩ 500mA 600Ω@100MHz ±25% 0805 Ferrite Beads ROHS
1034,smtWeld,smtWeld,SMT,20,10,0.0,expand,
1035,smtWeld,smtWeld,SMT,20,10,0.0,base,
1042,smtWeld,smtWeld,SMT,20,8,0.0,expand,
1043,smtWeld,smtWeld,SMT,20,10,0.0,expand,
1046,smtWeld,smtWeld,SMT,20,8,0.0,base,1.15Ω 10uH 15mA 24MHz 50@2MHz Multilayer inductor ±10% 0805 Inductors (SMD) ROHS
1049,smtWeld,smtWeld,SMT,20,10,0.0,expand,
1051,smtWeld,smtWeld,SMT,20,10,0.0,expand,
1523,smtWeld,smtWeld,SMT,20,10,0.0,base,
1525,smtWeld,smtWeld,SMT,20,10,0.0,base,
1527,smtWeld,smtWeld,SMT,20,12,0.0,expand,
1530,smtWeld,smtWeld,SMT,20,10,0.0,base,
1531,smtWeld,smtWeld,SMT,20,10,0.0,expand,
1532,smtWeld,smtWeld,SMT,20,10,0.0,base,
1537,smtWeld,smtWeld,SMT,20,10,0.0,expand,
1538,smtWeld,smtWeld,SMT,20,10,0.0,base,
1542,smtWeld,smtWeld,SMT,20,10,0.0,expand,50V 6.8nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
1546,smtWeld,smtWeld,SMT,20,10,0.0,base,
1547,smtWeld,smtWeld,SMT,20,10,0.0,base,
1548,smtWeld,smtWeld,SMT,20,10,0.0,base,
1549,smtWeld,smtWeld,SMT,20,10,0.0,base,
1550,smtWeld,smtWeld,SMT,20,10,0.0,expand,1pF 50V C0G 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
1552,smtWeld,smtWeld,SMT,20,10,0.0,expand,
1554,smtWeld,smtWeld,SMT,20,10,0.0,base,
1555,smtWeld,smtWeld,SMT,20,10,0.0,base,
1557,smtWeld,smtWeld,SMT,20,10,0.0,expand,
1559,smtWeld,smtWeld,SMT,20,10,0.0,expand,
1561,smtWeld,smtWeld,SMT,20,10,0.0,expand,
1562,smtWeld,smtWeld,SMT,20,10,0.0,base,
1565,smtWeld,smtWeld,SMT,20,10,0.0,expand,
1567,smtWeld,smtWeld,SMT,20,10,0.0,base,
1569,smtWeld,smtWeld,SMT,20,10,0.0,expand,
1570,smtWeld,smtWeld,SMT,20,10,0.0,expand,
1576,smtWeld,smtWeld,SMT,20,10,0.0,expand,
1585,smtWeld,smtWeld,SMT,20,10,0.0,expand,
1588,smtWeld,smtWeld,SMT,20,10,0.0,base,
1594,smtWeld,smtWeld,SMT,20,10,0.0,base,
1595,smtWeld,smtWeld,SMT,20,10,0.0,expand,
1596,smtWeld,smtWeld,SMT,20,10,0.0,expand,
1600,smtWeld,smtWeld,SMT,20,10,0.0,expand,
1603,smtWeld,smtWeld,SMT,20,10,0.0,base,220pF 50V X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
1604,smtWeld,smtWeld,SMT,20,10,0.0,base,
1609,smtWeld,smtWeld,SMT,20,10,0.0,expand,
1613,smtWeld,smtWeld,SMT,20,10,0.0,base,
1615,smtWeld,smtWeld,SMT,20,10,0.0,expand,
1620,smtWeld,smtWeld,SMT,20,10,0.0,base,
1622,smtWeld,smtWeld,SMT,20,10,0.0,base,
1623,smtWeld,smtWeld,SMT,20,10,0.0,base,
1630,smtWeld,smtWeld,SMT,20,10,0.0,expand,
1631,smtWeld,smtWeld,SMT,20,10,0.0,base,
1634,smtWeld,smtWeld,SMT,20,10,0.0,base,
1644,smtWeld,smtWeld,SMT,20,10,0.0,base,
1647,smtWeld,smtWeld,SMT,20,10,0.0,base,
1648,smtWeld,smtWeld,SMT,20,10,0.0,base,
1653,smtWeld,smtWeld,SMT,20,10,0.0,base,
1658,smtWeld,smtWeld,SMT,20,10,0.0,base,
1663,smtWeld,smtWeld,SMT,20,10,0.0,base,
